Ranking,Name,Tuition,Board,Salary
1,Harvard University,"$48,949","$16,660","$92,033"
2,Massachusetts Institute of Technology,"$49,892","$14,720","$96,033"
3,Yale University,"$51,400","$15,500","$80,200"
4,University of Pennsylvania,"$53,534","$15,066","$82,667"
=5,California Institute of Technology,"$49,908","$14,796","$79,300"
=5,Princeton University,"$47,140","$15,610","$77,700"
=7,Brown University,"$53,419","$14,020","$63,433"
=7,Stanford University,"$49,617","$15,112","$88,567"
9,Cornell University,"$52,853","$14,330","$74,300"
10,Duke University,"$53,500","$14,798","$79,667"
11,Northwestern University,"$52,678","$16,047","$66,433"
=12,Dartmouth College,"$52,950","$15,159","$71,100"
=12,Johns Hopkins University,"$52,170","$15,410","$69,633"
14,University of Chicago,"$54,825","$15,726","$65,867"
15,Columbia University,"$51,640","$13,644","$78,900"
16,Rice University,"$45,608","$13,850","$64,733"
17,Vanderbilt University,"$47,664","$15,584","$64,733"
18,University of Southern California,"$54,259","$14,886","$70,700"
19,Washington University in St Louis,"$51,533","$16,006","$66,400"
20,Amherst College,"$54,310","$14,190","$60,333"
21,Williams College,"$53,550","$14,150","$55,767"
22,Emory University,"$49,392","$13,894","$62,300"
23,Pomona College,"$51,075","$16,150","$55,367"
24,Wellesley College,"$51,148","$15,836","$59,133"
=25,"University of California, Los Angeles","$41,275","$15,441","$59,667"
=25,Carnegie Mellon University,"$53,910","$13,784","$80,533"
27,University of Michigan-Ann Arbor,"$49,142","$11,198","$60,300"
28,Swarthmore College,"$50,822","$14,952","$52,567"
29,Georgetown University,"$52,300","$15,434","$89,200"
30,Tufts University,"$54,318","$14,054","$69,100"
31,New York University,"$50,464","$17,664","$60,100"
32,University of Notre Dame,"$51,495","$14,890","$73,367"
33,University of North Carolina at Chapel Hill,"$34,588","$11,556","$53,567"
34,"University of California, Berkeley","$42,184","$17,549","$62,433"
35,Middlebury College,"$52,496","$14,968","$56,300"
36,"University of California, Davis","$42,433","$16,136","$56,967"
